code,close,last_date,turn_20d,ret_1m,mom_6m,mom_12m,vol_20d,ep,bp,composite,rank
601138,49.53,2026-03-27,0.6185000000000002,-0.145297670405522,0.04414414414414414,1.658256880733945,0.37166604662051966,0.03587475219963353,0.16956294303617708,0.19824341279799246,1
002595,83.13,2026-03-27,0.5660000000000001,-0.1472971586829418,0.6679213002566293,1.0192626346313172,0.32245930171598075,0.035829784303623595,0.17122956353755484,0.24968632371392724,2
000959,4.67,2026-03-26,0.537,-0.18070175438596492,0.4179104477611941,0.8688524590163935,0.23928950358575238,0.03371062603093415,1.3922748239120415,0.27603513174404015,3
600295,14.8,2026-03-27,0.572,-0.12061794414735583,0.7051671732522795,0.9300458715596327,0.3334546782113765,0.044235290162491704,0.5071618865813586,0.27728983688833125,4
601857,12.07,2026-03-27,0.301,0.1083562901744719,0.25460829493087567,0.4877049180327868,0.6868179328958792,0.0716009404640328,0.7054922572224769,0.3199498117942284,5
600039,9.94,2026-03-27,0.25600000000000006,0.012219959266802416,0.12100456621004563,0.4419970631424377,0.3521811395470115,0.08951041740139801,0.575471339800864,0.3299874529485571,6
000708,16.42,2026-03-27,0.35550000000000004,-0.05251009809578744,0.37212984956452866,0.4723874256584537,0.3085299316708869,0.07153804507698065,0.5200378379530894,0.34127979924717694,7
688082,142.99,2026-03-27,0.5815,-0.23718324886636422,0.3026407227241139,0.6671113482746354,0.38021976304569743,0.02033141011747895,0.19618167678833331,0.3450439146800502,8
603568,26.29,2026-03-27,0.383,-0.06006435466571325,0.45677083333333335,0.4791115811739819,0.3960274535938134,0.060676360605193304,0.3230069100868275,0.3513174404015057,9
301200,168.69,2026-03-27,1.0110000000000001,0.01675607256946532,0.939333722969024,2.9361803084223013,0.697066913423291,0.007231621526318622,0.06903084898901216,0.35382685069008785,10
600801,20.4,2026-03-27,0.7995,-0.13559322033898313,0.517684887459807,1.116591928251121,0.39985557024084534,0.06727730237393344,0.7559607505178331,0.3575909661229611,11
603737,49.11,2026-03-27,0.5674999999999999,-0.06705927051671734,0.12430585219991452,0.6043889058213958,0.39496500751065877,0.018358651045241536,0.08963704347629664,0.3601003764115433,12
688375,104.54,2026-03-27,0.8724999999999999,-0.13496069507654107,0.7021126760563379,1.3155776968767965,0.5826015813843789,0.00814552236359274,0.09948868783772678,0.370138017565872,13
603156,29.91,2026-03-27,0.5855,-0.010585511081706911,0.4126168224299067,0.6011652542372883,0.43503812936339276,0.042764493581797895,0.23845621538509965,0.3726474278544542,14
601288,6.48,2026-03-27,0.122,0.009345794392523477,-0.1058495821727019,0.31557377049180335,0.24751718026495814,0.12724161554098554,1.2075107166576102,0.38268506900878296,15
002142,30.1,2026-03-27,0.331,-0.02840542285345382,0.089693985226873,0.3569864213753833,0.22996959181138438,0.14757398695623045,1.0961462785285772,0.39523212045169387,16
688336,71.53,2026-03-27,0.9840000000000002,0.15632072421597165,0.004710086080883524,1.446993670886076,0.5634843051099676,0.06646911602257317,0.13341920193169657,0.3989962358845671,17
603233,17.56,2026-03-27,0.39999999999999997,-0.10408163265306136,0.16458704693998838,0.377371749824315,0.2858610571588932,0.056886610592776124,0.35201872176369825,0.41656210790464243,18
601319,7.47,2026-03-27,0.192,-0.13038416763678695,0.03245192307692313,0.2744807121661721,0.2989034142538884,0.14120037830405355,0.9353355750209282,0.4178168130489335,19
600329,44.02,2026-03-27,0.694,0.018981481481481488,-0.005982512655315242,0.6425855513307985,0.33497816001078423,0.10553709887591381,0.2657658268200773,0.4203262233375157,20
